isaaclab_timestep,grav_x,grav_y,grav_z
0,1e-08,-0.0,-1.0
1,3.171e-05,0.00191639,-0.99999791
2,0.00395098,0.00838328,-0.99995685
3,0.01102799,0.02215406,-0.99969363
4,0.01117655,0.02854728,-0.9995296
5,0.01357707,0.01746313,-0.99975526
6,0.01729224,-0.00377113,-0.99984336
7,0.0205774,-0.03494985,-0.99917716
8,0.02164842,-0.06448144,-0.9976837
9,0.0228864,-0.0837978,-0.99621964
10,0.02330098,-0.09406549,-0.99529308
11,0.02291783,-0.11293155,-0.99333847
12,0.02317479,-0.13862048,-0.99007446
13,0.02395071,-0.160127,-0.98680568
14,0.02338623,-0.18275855,-0.9828797
15,0.023019,-0.21216296,-0.97696316
16,0.01851405,-0.24723995,-0.9687773
17,0.0093306,-0.27773738,-0.96061176
18,0.00322458,-0.30891109,-0.95108503
19,0.00498048,-0.33428973,-0.9424572
20,0.00598816,-0.34934226,-0.93697584
21,0.01031213,-0.35289848,-0.93560475
22,0.01559567,-0.35193151,-0.9358955
23,0.01394836,-0.34490001,-0.93853551
24,0.00766167,-0.33212295,-0.94320476
25,0.00731278,-0.31172818,-0.95014268
26,0.00893446,-0.28172916,-0.95945221
27,0.01483273,-0.25152799,-0.96773636
28,0.02337162,-0.23831759,-0.97090596
29,0.02350142,-0.26011541,-0.96529144
30,0.02621194,-0.27487132,-0.96112359
31,0.02775405,-0.2867316,-0.95760888
32,0.02769076,-0.3021757,-0.95284992
33,0.02479932,-0.31437817,-0.94897377
34,0.02373869,-0.32106832,-0.94675845
35,0.02949047,-0.32000181,-0.94695753
36,0.03138117,-0.31218201,-0.9495036
37,0.03123799,-0.29681289,-0.95442462
38,0.02687392,-0.28270483,-0.9588303
39,0.01716822,-0.27495089,-0.96130455
40,0.01122732,-0.27870324,-0.96031141
41,0.01294833,-0.29462612,-0.95552468
42,0.00938295,-0.30276242,-0.95301986
43,0.00756919,-0.30061847,-0.95371431
44,0.00394493,-0.2896826,-0.95711458
45,0.00420524,-0.273303,-0.96191841
46,0.00811237,-0.25595912,-0.96665317
47,0.01035976,-0.23253663,-0.97253227
48,0.01547705,-0.20997824,-0.97758359
49,0.02156792,-0.19561334,-0.98044395
50,0.02567449,-0.19850057,-0.97976434
51,0.02438707,-0.22248825,-0.97463012
52,0.02245832,-0.24375273,-0.96957695
53,0.02442098,-0.26135743,-0.9649328
54,0.02203882,-0.27776635,-0.9603954
55,0.01909656,-0.29626054,-0.95491624
56,0.02095807,-0.31228614,-0.94975656
57,0.02873236,-0.32427895,-0.94552487
58,0.03278033,-0.32914212,-0.9437111
59,0.0268371,-0.32550198,-0.94516003
60,0.02075558,-0.32388291,-0.94586903
61,0.01287378,-0.32995778,-0.94390804
62,0.00144155,-0.34301072,-0.93932998
63,-0.00840332,-0.36336443,-0.93160927
64,-0.00765402,-0.38629073,-0.92234504
65,0.00121412,-0.40557054,-0.91406268
66,0.00941647,-0.41667917,-0.90900493
67,0.00906239,-0.42089316,-0.9070648
68,0.001795,-0.41827792,-0.90831733
69,-0.00112255,-0.40825459,-0.91286749
70,-0.00317086,-0.39170441,-0.92008555
71,-0.00049454,-0.36730823,-0.93009913
72,0.00365202,-0.33397955,-0.94257331
73,0.01052274,-0.29289019,-0.95608795
74,0.01874804,-0.2560972,-0.96646875
75,0.02821832,-0.23115851,-0.9725064
76,0.03188876,-0.24179588,-0.96980292
77,0.03108479,-0.25538665,-0.96633911
78,0.02745917,-0.27241746,-0.9617871
