isaaclab_timestep,grav_x,grav_y,grav_z
0,-0.0,0.0,-1.00000072
1,-0.0006528,-0.00169545,-0.99999851
2,-0.00143449,-0.0022168,-0.99999642
3,-0.00595998,0.00071209,-0.99998212
4,-0.01079239,-0.0009391,-0.99994123
5,-0.01507258,-0.00674974,-0.99986386
6,-0.01844036,-0.01601405,-0.99970198
7,-0.02158118,-0.02858632,-0.99935865
8,-0.02444957,-0.04525042,-0.99867618
9,-0.02801189,-0.07780944,-0.99657476
10,-0.03090257,-0.10749121,-0.9937259
11,-0.03367591,-0.12784128,-0.99122298
12,-0.03388336,-0.1357891,-0.99015814
13,-0.03060631,-0.14237802,-0.98933929
14,-0.02699114,-0.15351574,-0.98777759
15,-0.02131627,-0.16827734,-0.98550934
16,-0.01328988,-0.17430377,-0.98460257
17,-0.00383911,-0.17801932,-0.98401964
18,0.00435043,-0.18843414,-0.98207611
19,0.00440977,-0.19788265,-0.98021555
20,0.00441429,-0.2016146,-0.97945547
21,0.00249887,-0.20108034,-0.97957182
22,0.00224803,-0.19536659,-0.98072797
23,0.00490081,-0.1919181,-0.9813987
24,0.00500972,-0.19490781,-0.98080909
25,0.00471871,-0.18774283,-0.98220724
26,0.00601674,-0.1801367,-0.98362321
27,0.00489662,-0.17888868,-0.9838571
28,-3.71e-05,-0.18458921,-0.98281634
29,-0.00707398,-0.18594334,-0.98253495
30,-0.01503062,-0.18720919,-0.98220551
31,-0.02257468,-0.20029655,-0.97947556
32,-0.02028839,-0.23114853,-0.97270668
33,-0.01846793,-0.25766212,-0.96605921
34,-0.02037957,-0.27873489,-0.96015203
35,-0.01925845,-0.29236022,-0.95611429
36,-0.01618707,-0.29814297,-0.95438391
37,-0.01598418,-0.2969839,-0.95474887
38,-0.01508075,-0.28458166,-0.95853341
39,-0.01678993,-0.26951355,-0.96285069
40,-0.02171095,-0.25866622,-0.9657228
41,-0.02360903,-0.2437195,-0.96955848
42,-0.01423258,-0.22882366,-0.97336423
43,0.00661661,-0.22246706,-0.97491813
44,0.01335482,-0.23518434,-0.9718591
45,0.01384074,-0.25205553,-0.96761364
46,0.00877684,-0.2615999,-0.965137
47,0.00690518,-0.27047315,-0.96270323
48,0.00409222,-0.27759326,-0.96069008
49,0.00078489,-0.2709983,-0.96257985
50,0.00127773,-0.25311455,-0.96743566
51,-0.00101621,-0.23847662,-0.97114784
52,0.00112114,-0.21912593,-0.97569567
