isaaclab_timestep,grav_x,grav_y,grav_z
0,5e-08,2e-08,-1.00000012
1,0.00344542,0.00112357,-0.99999332
2,0.00472085,0.00555464,-0.99997342
3,-0.0056252,0.00347591,-0.99997771
4,-0.0055068,-0.00375479,-0.99997753
5,-0.01393711,-0.00724682,-0.9998765
6,-0.01384924,-0.00756002,-0.99987501
7,-0.01855753,-0.00647396,-0.99980652
8,-0.01646725,-0.00428751,-0.99985522
9,-0.01945405,-0.00319813,-0.99980533
10,-0.00962199,-0.00136839,-0.99995273
11,-0.00651431,-0.0005051,-0.99997842
12,-0.00086525,0.00069517,-0.9999994
13,-0.00018216,0.0010519,-0.99999928
14,0.01294467,0.00238985,-0.99991322
15,0.01632828,0.00251899,-0.99986315
16,0.01652753,0.00568094,-0.99984717
17,0.01692344,0.00038816,-0.99985647
18,0.01526763,-0.00097518,-0.99988288
19,0.01839065,-0.00330533,-0.99982512
20,0.01772104,-0.00485693,-0.99983072
21,0.02393769,-0.00331632,-0.99970758
22,0.02151361,-0.00174587,-0.99976695
23,0.02938243,0.00019346,-0.99956799
24,0.02543255,0.0002595,-0.99967623
25,0.02829888,8.46e-06,-0.99959952
26,0.02087143,-0.00020649,-0.99978197
27,0.0241192,0.0003333,-0.99970889
28,0.01699672,0.00062848,-0.99985516
29,0.0150518,0.00373403,-0.9998793
30,0.00897529,0.00443228,-0.99994981
31,0.00750994,0.00519306,-0.9999584
32,0.00244468,0.00667204,-0.99997473
33,0.00500066,0.00513009,-0.99997413
34,0.00234908,0.00517117,-0.99998373
35,-0.00144078,0.00814917,-0.99996573
36,0.00220791,0.00808788,-0.99996483
37,-0.00196043,0.00711716,-0.99997234
38,0.00055452,0.01028152,-0.99994659
39,0.00122205,0.01068541,-0.99994189
40,0.00056031,0.0112327,-0.99993664
41,0.0028002,0.00903213,-0.99995494
42,0.00276802,0.01022193,-0.99994397
43,0.00501278,0.00804584,-0.99995518
44,0.00507577,0.00867124,-0.99994934
45,0.00546495,0.00706018,-0.99995995
46,0.00376943,0.00835319,-0.99995792
47,0.00428403,0.00501799,-0.99997789
48,0.00370111,0.00447409,-0.99998283
49,0.00425485,0.00223073,-0.99998856
50,0.00245402,0.00321078,-0.99999166
51,0.003789,0.00044484,-0.99999237
52,0.00282591,8.543e-05,-0.99999583
53,0.00204481,-0.00078618,-0.99999756
54,0.00120102,-0.00018796,-0.99999928
55,0.00211879,-0.00335413,-0.99999207
56,0.00114264,-0.00280269,-0.99999535
57,0.00092163,-0.00406246,-0.99999106
58,-0.00201017,-0.00230618,-0.99999499
59,-0.00090425,-0.00435065,-0.99999017
60,-0.00254935,-0.00415951,-0.9999882
61,0.00017346,-0.0056254,-0.99998373
62,-0.00207484,-0.00540927,-0.99998283
63,-0.00089502,-0.00575384,-0.99998266
64,-0.00477898,-0.00453696,-0.99997824
65,-0.00179646,-0.00532779,-0.99998385
66,-0.00450173,-0.00544411,-0.99997479
67,-0.00199412,-0.00522145,-0.99998438
68,-0.00608629,-0.00434999,-0.99997175
69,-0.00231008,-0.00487777,-0.99998546
70,-0.00550473,-0.00552721,-0.99996954
71,-0.00330871,-0.00412011,-0.99998593
72,-0.00728974,-0.00293992,-0.99996924
73,-0.00266936,-0.00359857,-0.99998999
74,-0.00537503,-0.00417055,-0.99997663
75,-0.00348145,-0.0018386,-0.99999231
76,-0.00489495,-0.00130961,-0.99998701
77,-0.00193215,-0.0017329,-0.99999666
78,-0.00536286,-0.00016506,-0.99998552
79,-0.00077638,-0.00013585,-0.99999964
80,-0.00296761,0.00011569,-0.99999523
81,-7.692e-05,0.00147184,-0.99999881
82,-0.00408713,0.00317876,-0.99998617
83,0.00037315,0.00303336,-0.99999499
84,-0.00258271,0.00272928,-0.99999267
85,0.0031472,0.00269206,-0.99999154
86,6.79e-06,0.00267002,-0.99999648
87,0.00212341,0.00464319,-0.99998689
88,-0.00117604,0.00529036,-0.99998522
89,0.00426003,0.00391174,-0.99998325
90,0.00212015,0.00323429,-0.99999213
91,0.00117885,0.00618585,-0.99998009
92,0.00368845,0.00461571,-0.99998271
93,0.00155269,0.00386134,-0.99999142
94,0.00216523,0.00750894,-0.99996924
95,0.00389622,0.00496022,-0.99997973
96,0.00256341,0.0050775,-0.99998337
97,0.0006941,0.00632098,-0.99997938
98,0.00363047,0.0064881,-0.99997234
99,-0.00186982,0.00600882,-0.99997991
