isaaclab_timestep,grav_x,grav_y,grav_z
0,-6e-08,-1e-08,-1.0
1,0.00279551,0.00702617,-0.99997127
2,0.00176928,0.02007966,-0.99979639
3,-0.01304103,0.03813759,-0.99918699
4,-0.015905,0.05860143,-0.99815464
5,-0.00674878,0.06806793,-0.99765748
6,-0.00205779,0.05737447,-0.99835044
7,-0.00842328,0.04859014,-0.99878335
8,-0.00520444,0.04025192,-0.99917597
9,-0.00301544,0.03879341,-0.99924242
10,0.00873339,0.04169725,-0.99909192
11,0.01313336,0.03893809,-0.99915516
12,0.01016751,0.03869131,-0.99919927
13,0.005024,0.04070629,-0.99915832
14,0.00924514,0.04847534,-0.99878132
15,0.00128035,0.04914324,-0.99879098
16,-0.00320455,0.04962953,-0.99876231
17,-0.01434011,0.04927921,-0.99868184
18,-0.01954974,0.05381943,-0.99835896
19,-0.03432004,0.05483574,-0.99790514
20,-0.03332319,0.06038693,-0.99761868
21,-0.04190568,0.06106968,-0.99725336
22,-0.04881042,0.05301695,-0.9974001
23,-0.05825571,0.04335824,-0.99735934
24,-0.06569385,0.0249064,-0.99752909
25,-0.06895591,0.01855697,-0.99744713
26,-0.0776325,0.02184449,-0.99674255
27,-0.08212164,0.03398425,-0.99604273
28,-0.07641584,0.02913059,-0.99665016
29,-0.0702057,0.02134475,-0.99730372
30,-0.06380564,0.01147892,-0.99789608
31,-0.05868321,0.0078078,-0.99824584
32,-0.05788324,0.00790214,-0.99829209
33,-0.05338355,0.01789947,-0.99841338
34,-0.05156231,0.03168425,-0.99816692
35,-0.05890265,0.04375323,-0.99730426
36,-0.05717754,0.05417886,-0.99689281
37,-0.06555641,0.066827,-0.99560857
38,-0.05912273,0.06403637,-0.99619424
39,-0.06396934,0.05795991,-0.99626702
40,-0.06267724,0.05267412,-0.99664259
41,-0.06320585,0.04670576,-0.9969067
42,-0.06683098,0.03991133,-0.99696547
43,-0.07029143,0.0424608,-0.99662209
44,-0.06551262,0.04553693,-0.99681211
45,-0.06733761,0.05034264,-0.99645907
46,-0.06711943,0.04648846,-0.99666131
47,-0.06936981,0.03819863,-0.99685937
48,-0.06227826,0.0324205,-0.99753189
49,-0.06831694,0.02827689,-0.99726254
50,-0.07225937,0.03285788,-0.99684435
51,-0.08158426,0.04904431,-0.9954586
52,-0.08967842,0.05521741,-0.99443853
53,-0.08951374,0.04539109,-0.99495023
54,-0.09127718,0.02561456,-0.99549598
55,-0.08594109,0.01811634,-0.99613523
56,-0.08089326,0.01278858,-0.9966405
57,-0.08153807,0.01068617,-0.99661255
58,-0.0863723,0.02820188,-0.99586374
59,-0.08115193,0.03439415,-0.99610794
60,-0.08669335,0.03312515,-0.99568409
61,-0.09128891,0.02800152,-0.99543035
62,-0.10310004,0.02017361,-0.99446619
63,-0.08304361,0.00825385,-0.99651164
64,-0.07839672,0.00017809,-0.99692196
65,-0.07765362,-0.00214145,-0.99697775
66,-0.07680957,0.01933706,-0.99685818
67,-0.07621793,0.02960439,-0.99665153
68,-0.07714107,0.03118655,-0.99653226
69,-0.07088014,0.01993745,-0.99728537
70,-0.0643382,0.01406052,-0.99782914
71,-0.05824365,0.01077731,-0.99824429
72,-0.04387384,0.01584446,-0.99891102
73,-0.04349307,0.01933949,-0.99886662
74,-0.03959003,0.02995999,-0.99876678
75,-0.04409608,0.04002155,-0.99822497
76,-0.05502687,0.03274004,-0.99794763
77,-0.06011229,0.0212217,-0.99796593
78,-0.06333671,0.01868433,-0.99781704
79,-0.05534659,0.00755771,-0.99843842
80,-0.05714641,0.00044784,-0.99836552
81,-0.05344483,-0.00122255,-0.99856973
82,-0.06609419,0.00332118,-0.9978078
83,-0.07034629,-0.00181279,-0.99752092
84,-0.06561686,-0.00501398,-0.99783206
85,-0.05798785,0.00314622,-0.99831218
86,-0.05717789,0.0074852,-0.99833578
87,-0.05015911,0.00781996,-0.99871063
88,-0.04300979,0.00920303,-0.99903226
89,-0.03000903,0.01173455,-0.99948043
90,-0.03718737,0.01646735,-0.99917257
91,-0.03643071,0.02188189,-0.99909639
92,-0.03846586,0.01882464,-0.99908233
93,-0.04405703,0.01188662,-0.99895811
94,-0.04334775,0.0151482,-0.998945
95,-0.04317548,0.02221915,-0.99882019
96,-0.05128295,0.02813667,-0.99828762
97,-0.05364845,0.0214168,-0.9983303
98,-0.06238668,0.0130503,-0.99796683
99,-0.05987019,0.00798465,-0.99817413
100,-0.06203114,-0.00252896,-0.99807096
101,-0.06872807,-3.604e-05,-0.99763513
102,-0.06726389,0.00718315,-0.99770927
103,-0.07285476,0.004705,-0.99733126
104,-0.07229842,-0.00485447,-0.99737078
105,-0.080415,-0.00938828,-0.99671715
106,-0.07598604,-0.01866321,-0.99693429
107,-0.07371461,-0.02346215,-0.9970032
